2022-12-01,803.3799426555634
2023-01-01,749.787531375885
2023-02-01,722.5316410064697
2023-03-01,716.7214994430542
2023-04-01,709.2629756331444
2023-05-01,725.3404517769814
2023-06-01,734.0322126746178
2023-07-01,748.1741808652878
2023-08-01,808.8503836393356
2023-09-01,851.9660879969597
2022-12-01,803.3799426555634
2023-01-01,749.787531375885
2023-02-01,722.5316410064697
2023-03-01,716.7214994430542
2023-04-01,709.2629756331444
2023-05-01,725.3404517769814
2023-06-01,734.0322126746178
2023-07-01,748.1741808652878
2023-08-01,808.8503836393356
2023-09-01,851.9660879969597
